mrna_F.50179058.003S mrna_F.50179060.003S mrna_F.50179062.003S mrna_F.50179066.003S mrna_F.50179064.003S mrna_F.50179068.003S mrna_F.50179071.003S mrna_F.50179073.003S mrna_F.50179075.003S mrna_F.50179077.003S mrna_F.50179079.003S mrna_F.50179081.003S mrna_F.50179083.003S mrna_F.50179085.003S mrna_F.50179087.003S mrna_F.50179089.003S mrna_F.50179091.003S mrna_F.50179093.003S mrna_F.50179095.003S mrna_F.50179097.003S mrna_F.50179099.003S mrna_F.50179101.003S mrna_F.50179105.003S mrna_F.50179106.003S mrna_F.50179108.003S mrna_F.50179110.003S mrna_F.50179112.003S mrna_F.50179114.003S mrna_F.50179116.003S mrna_F.50179118.003S mrna_F.50179120.003S mrna_F.50179122.003S mrna_F.50179123.003S mrna_F.50179125.003S mrna_F.50179127.003S mrna_F.50179129.003S mrna_F.50179131.003S mrna_F.50179133.003S mrna_F.50179135.003S mrna_F.50179137.003S mrna_F.50179139.003S mrna_F.50179141.003S mrna_F.50179143.003S mrna_F.50179145.003S mrna_F.50179147.003S mrna_F.50179149.003S mrna_F.50179151.003S mrna_F.50179153.003S mrna_F.50179155.003S mrna_F.50179157.003S mrna_F.50179159.003S mrna_F.50179161.003S mrna_F.50179163.003S mrna_F.50179165.003S mrna_F.50179167.003S mrna_F.50179169.003S mrna_F.50179171.003S mrna_F.50179173.003S mrna_F.50179176.003S mrna_F.50179182.003S mrna_F.50179184.003S mrna_F.50179186.003S mrna_F.50179188.003S mrna_F.50179190.003S mrna_F.50179192.003S mrna_F.50179194.003S mrna_F.50179196.003S mrna_F.50179198.003S mrna_F.50179200.003S mrna_F.50179201.003S mrna_F.50179203.003S mrna_F.50179205.003S mrna_F.50179207.003S mrna_F.50179209.003S mrna_F.50179211.003S mrna_F.50179213.003S mrna_F.50179215.003S mrna_F.50179217.003S mrna_F.50179219.003S mrna_F.50179221.003S mrna_F.50179223.003S mrna_F.50179225.003S mrna_F.50179227.003S mrna_F.50179229.003S mrna_F.50179231.003S mrna_F.50179233.003S mrna_F.50179235.003S mrna_F.50179237.003S mrna_F.50179239.003S mrna_F.50179241.003S mrna_F.50179243.003S mrna_F.50179245.003S mrna_F.50179247.003S mrna_F.50179249.003S mrna_F.50179251.003S mrna_F.50179253.003S mrna_F.50179255.003S mrna_F.50179257.003S mrna_F.50179259.003S mrna_F.50179261.003S mrna_F.50179263.003S mrna_F.50179265.003S mrna_F.50179267.003S mrna_F.50179269.003S mrna_F.50179271.003S
K00046 0 0 8 11.65 12.78 22.15 6 7.34 54.6 7.44 10.38 57.28 76.22 1.18 14.19 33.92 14.54 6 3.88 18.42 51.93 3.01 17 2.12 9.61 34.5 23.99 35.98 14.87 0 26.55 21.49 206.79 85.54 9.71 0 18.17 49.17 11.45 4 19.45 2 8.87 3.04 2 2 9 7 14.12 7.65 10.41 4 20.32 16.92 2 0 9.06 5.32 1.05 4.13 1 0 23.3 28.81 0 2 3 11.79 4 14 11.1 3 3 1 18.41 3 18.45 15.69 5 6 9.34 12.12 12.37 11.75 7.07 4.84 0 1 31.39 6 4 9.87 7.62 15.61 2.09 3 0 17.27 0 0 0 0 13 41.47 7
K00048 2006.2 4237.26 4404.74 9583.94 770.12 1536.7 3291.8 5263.14 4654.92 3463.72 1565.88 3956.26 16341.18 8392 5900.76 4681.38 5799.06 6620.92 8238.62 6204.5 3046.98 7519.1 2254.28 4041.58 3205.02 4099.36 3055.64 3490.5 6785.02 4838.84 4911.14 4148.28 2098.1 19024.92 4948.68 3467.82 6142.7 5208.28 4538.9 7115.02 3083.98 2873.58 1446.22 4123.82 4076.7 2475.84 5890.54 2184.1 8839.22 1163.98 7839.44 8161.96 2978.52 1043.36 4987.48 3919.02 1465.12 2002.08 3199.58 933.94 21241.74 3924.7 738.66 3064.54 4586 493.34 18430.86 2792.92 1621.18 4641.26 2862.26 6442.28 7508.16 12154.48 1265.4 5317.8 6044.58 1212.84 12446.44 3897.94 18580.6 3778.42 3286.04 6322.76 2495.48 9546.94 1531.94 13239.86 4437.64 2833.82 4048.92 4990 4472.04 7860.74 1599.2 4097.88 3101.52 1003.08 1157.78 1171.7 1710.96 1142.18 3402.82 478 3969.68
K00049 1 0 0 0 0 0 0 1 0 0 1 0.95 0 1.69 3.77 0.23 1 0 0.51 1 0.04 0 0 0 0.89 0 0.58 0 0 0 2 1 0 0 0 0 0 0 2 0 0 0 0 0 2 0 1 0 1 0 1 0 0 0 0 0.48 1 0 1 1 1 6 0 7.44 1 0 0 0 1 0 0.01 3.9 0.87 0 1.48 0 1 0.41 2 0 1 0 0.36 1.72 0.14 0 2.67 0 5 0 0 0 0 0 0 0 0 0 0 1 0.88 0 0.79 0 0
K00052 914.86 891.34 314.21 1546.99 674.57 855.71 1208.83 1053.73 665.49 584.27 357.63 1380.29 4886.42 1601.23 1169.58 891.41 1051.36 1362.29 793.87 1250.91 1113.35 1813.94 548.65 1269.59 663.64 990.75 1642.46 1217.65 676.82 1317.89 1131.18 1062.02 3632.21 1368.46 1123.94 218 976.97 2118.04 1179.29 675.94 961.06 2017.39 1855.99 1905.02 1235.14 843.93 1945.46 939.53 2312.57 442.35 1194.21 1592.07 784.13 596.19 2194.32 374.07 2323.07 857.61 1828.76 1138.03 4213.65 682.09 1576.53 1745.95 1257.31 676.64 960.21 851.79 860.54 1159.61 719.63 2155.18 2148.69 1315.06 902.86 1470.21 1479.36 683.64 2133.46 862.84 1105.98 1161.58 1600.04 1177.66 650.39 1255.5 704.36 1001.38 1621.87 909.52 1581.73 831.69 1164.97 1824.68 952.11 775.35 1211.32 1116.17 930.93 779.59 213.07 323.32 1244.34 2005.03 1650.33
K00053 2001 1276.73 694.43 3248.83 2859 1691.63 2341.93 2785 1453.96 1793.47 811 2608.01 12694.28 3310.12 1942.57 1182.25 2346.89 2451.99 1440.75 2259 1766.43 3006.53 1234.12 2110.99 1703.51 2290.13 2755.92 4094.76 1643 1161.34 2076.68 1513.52 5576.83 3186.81 3075.8 371.52 2276.72 10087.96 1901.09 692.85 1806 2711 4340 3694.04 2143.83 2397 3246.91 2130 5352.16 1369.67 2516.19 1161.86 997.99 1413 5660.16 915.98 4771.15 2033.99 3432.27 2258.56 3282.25 1326.34 3294.45 4209.43 2327.68 1539.26 1479.57 914.46 1311.57 1785.76 1424 3694.86 4441.78 1568.17 4086.99 1353.61 1312 1224.99 3597.39 1252 1639.43 3014.06 4015.24 3420.06 1406 2355.7 2872 967.86 3145.41 6243.23 4479.08 1169 1619.09 3073.48 1413 1167.4 1883.99 3849 1591 3632.96 370.99 1922.17 2094.34 6142.16 3613.08
K00054 2 0 0 0 5 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 4 0 1 0
K00055 2 1 1 0 1 2 0 3 0 1 0 0 0 3 0 0 0 0 3 0 0 1 0 0 0 0 1 1 1 0 0 2 0 2 1 0 0 1 0 0 0 1 2 0 2 1 5 0 1 0 2 1 0 1 2 0 0 0 4 0 0 0 0 0 2 7 0 0 4 1 1 1 3 7 0 0 3 0 1 0 0 3 1 2 1 1 0 0 0 0 5 1 2 2 0 0 2 1 1 1 11 0 3 3 4
K00057 1410.94 2378.14 2445.75 912.81 2840.11 712.89 1609.1 1844.1 1337.1 355.51 416.59 2531.94 2335.93 1387.72 1496.02 1715.91 2824.41 1705.05 1829.24 2360.9 3160.56 2327.18 501.32 1288.59 1049.13 1222.89 1300.95 1673.68 1985.22 2860.47 1338.42 2057.69 1148.43 1676.53 1583.63 749.48 2512.05 712.54 2182.99 2483.28 1455.07 1182.94 350.11 926.25 898.56 518.88 999.39 955.25 1006.99 753.81 1020.22 2692.83 2375.14 323.11 651.5 1171.32 1216.26 301.1 938.83 877.94 1885.31 663.63 598.66 744.06 1133.97 1423.01 1706.48 1676.19 942.8 2238.51 467.75 2495.94 1162.15 1588.13 2686.36 1884.85 1590.11 640.49 1642.31 1433.06 1370.87 489.16 584.04 785.43 371.83 1350.45 1888.8 1569.95 1430.42 1367.34 576.43 1187.16 1558.08 1306.06 2000.89 1274.96 974.61 1881.87 416.76 1308.5 327.48 1966.76 1098.55 1813.67 936.06
K00058 343.09 928.03 1460.46 1135.46 308.46 497.11 696.39 268.64 598.52 170 186.13 604.32 1435.27 623.56 517.01 495.83 466.87 832.5 695.09 631.36 487.78 1303.34 826.01 516.56 408.8 462.44 728.25 401.66 1307.29 428.56 621.32 584.37 3769.08 559.64 475.18 975.7 572.72 1488.92 805.16 395.79 967.05 2185.07 452.63 1367.71 840.92 175.46 1863.9 315.72 869.34 241.02 978.06 1299.14 451.65 307.7 712.57 1198.44 678.41 301.68 1969.88 1571.05 5289.88 1250.4 422.58 591.17 1035.51 530.42 763.35 707.52 709.63 2948.87 496.36 966.18 592.97 2635.26 1594.18 539.5 803.59 226.22 1070.32 980.57 825.27 389.68 564.72 817.61 207.4 1330.02 984.98 1311.46 1202.76 812.45 1242.7 503.45 1155.32 1626.96 304.1 3385.41 1969.78 697.15 515.42 787.78 724.32 660.02 2283.87 368.61 1904.16
K00059 770.65 1725.5 2348.37 1425.77 304.53 413.46 832.68 1441.89 709.59 224.97 331.81 1481.47 1943.18 579.07 1742.11 851.39 2066.71 1759.68 915.54 2318.24 3675.22 2180.02 473.25 1332.43 583.18 1049.31 1584.06 2096.63 1044.2 2424.84 1295.13 1592.04 1922.96 863.69 1671.81 411.29 1281.92 648.38 1762.1 1415.63 1219.97 2021.05 436.9 1426.21 1450.44 327.17 1571.85 602.56 1289.48 359.97 1332.02 2176.42 915.93 297.08 680.96 1223.24 631.43 363 1262.43 1290.16 3131.46 902.21 372.6 624.85 1717.35 481.37 1791.76 1751.76 796.61 3307.77 791.82 2228.4 816.08 2400.58 1334.44 1427.37 1055.48 352.57 1730.08 1611.54 1202.03 519.06 608.72 1120.83 336.81 1259.82 911.24 1543.56 1675.42 593.33 1021.15 1062.35 2535.83 1640.49 926.18 2232.24 2161.17 460.22 684.57 742.19 645.91 725.57 2138.41 311.82 1489.16
K00060 148.56 477.19 101 336.87 181.81 166.67 285.51 90.73 191.34 75.88 79 148.7 532.48 143.63 172.69 152.74 131 279.54 304.38 157.48 111.01 472.94 127 136.73 113 168.97 184.47 157.62 276 212 223.73 167.14 153 167.96 207.56 112 200.9 348.18 271.93 146.39 241.61 431.38 336.85 354.31 285 96.72 348.17 101.59 564.42 97.72 433.16 173.03 252.25 175.02 332.95 324 380.01 108.94 455.62 736.49 778.67 300.38 235 249.41 344.42 208.33 807.48 127 171 263.61 230 371.27 274.05 359.11 699.16 122.67 117.72 163.44 636.17 178.63 682.19 211.4 269 371.67 88.88 880.1 622.63 553.06 351.51 382.38 498.04 207.48 405.68 450.26 279.41 1196.48 708.37 402.73 118.22 219.39 259.34 312.74 528.6 274.37 538.97
K00063 0 0 0 1 0 0 3 4 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 1 0 1 0 0 0 0 0 6 0 4 0 0 3 0 1 6 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 3 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
K00065 3.69 68.56 202.3 81.58 9 9 224.47 28.44 33.98 19.83 19.18 105.22 28.93 63.88 28.18 6 51.21 25 22.76 33.24 155.6 12 30.01 21 38.66 44.71 38.01 44 100.86 21.77 76.91 13 14 47.25 18.8 11.62 46.76 18 21.33 99.43 20.27 75.85 20 33.28 32.61 8 37.13 8.21 77.85 5 30.45 479.2 460.68 9 101.49 28 24.72 4 33 10 36 19 7 75 130.22 33 20.35 15 7 29 44 243.76 18 55.79 8 24.98 52.56 8.43 194.51 34.92 15.55 12 59.94 35.77 5 21.69 17.49 24 84.49 43.64 57.47 27.12 60.29 99.44 135.38 196.71 49.73 15 12 20.7 14 45 29 17 23.77
K00066 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
K00067 513.87 489.3 348.21 647.19 805.08 706.76 564.16 397.86 289.31 153.94 179.6 464.77 1238.4 623.43 367.75 498.25 222.26 382.71 395.5 333.58 647.27 271.34 303.97 339.14 355.96 198.11 522.11 688.44 272.31 305.58 321.15 325.67 1021.4 540.39 403.86 220 614.42 637.16 426.83 447.08 562.32 776.31 732.01 670.25 286.36 220.67 470.34 703.79 477.2 213.49 526.28 546.29 607.68 194.24 493.99 515.28 541.13 297.26 385.42 614.18 857.41 173.41 994.9 876.22 477.54 444.8 171.93 347.13 177.53 396.22 223.7 542.09 511.08 388.5 763.56 214.67 450.44 736.11 558.9 280.01 177.33 556.1 779.77 397.32 158.87 346.29 580.91 259.13 656.8 549.23 521.12 237.85 741.21 701.9 720.89 408.21 477.21 984.61 303.26 433.77 154.19 649.42 504.69 882.13 508.5
K00068 0 0 0 2 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 2 0 0 0 0 0 0 0 0 0 0 0 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 2 0 0 0 0 2 0 4 0 0
K00073 0 4 0 6 0 2 2 4 4 0 4 2 12 2 0 0 0 12 2 0 0 0 8 2 0 0 0 0 4 2 2 2 0 4 0 6 0 0 2 0 6 0 0 4 2 0 2 0 4 2 14 2 0 4 2 2 2 4 4 2 14 14 0 0 2 0 0 0 0 2 0 2 2 4 2 2 0 6 8 0 4 2 0 2 0 8 2 0 2 0 18 0 2 2 0 8 6 0 4 0 0 0 2 0 8
K00074 757.31 1603.36 5863.27 1274.21 136 280.97 1354.58 1404.34 752.1 1090.62 364.73 1701.59 2097.49 3210.39 838.26 876.15 1455.36 763.36 1131.9 1102.53 1392.92 1670 897.87 689.95 910.7 1220.98 2433.91 4401.26 2009.24 4643.16 873.57 1089.17 616.77 1464.68 1296.22 525.03 2807.97 573.97 1148.67 4389.85 1219.31 515.93 212.73 482.95 808.93 187.92 1069.13 241.68 1368.75 178.98 888.95 1343.16 429.87 143.35 737.41 308.11 651.58 434.39 1011.1 497.39 4667.77 1189.84 156 506.99 1000.73 83.01 1737.02 843.77 1013.37 1506.39 493.94 993.94 630.44 2481.98 722.37 3536.3 969.88 209.51 2040.25 768.22 1475.82 423.51 730.2 1798.67 348.42 1326.2 194.64 1826.35 1257.15 286.96 936.61 658.69 1002.52 826.87 311.17 2888.48 675.59 185 344.43 359.99 218 419.9 667.09 177 714.73
K00075 1745.15 3731.55 1616.41 2377.06 1689.59 1185.41 1941.92 1398.53 1035.77 549.85 475.65 2576.25 3975.61 1056.46 1551.22 1643.62 1785.81 2608.98 2049.22 1789.13 2597.46 2813.3 381.99 1595.53 855.94 1270.18 1400.11 1154.45 1678.5 3127.5 1983.01 1623.71 1563.5 1861.28 1357.97 1300.45 2447.75 698.4 2730.35 2082.18 1476.09 2002.74 395.83 1815.44 1498.68 514.01 1490.54 975.44 2008.46 590 1898.11 2802.08 1727.24 484.05 869.66 1856.1 1184.07 354.15 1178.25 1126.62 6037.82 911.81 776.18 734.71 1800.46 930.41 2379.86 2247.8 1387.27 3038.1 1027.19 2844.21 1881.85 2749.21 1229.24 2061.71 1476.36 629.77 2633.97 1671.6 2505.37 581.31 881.92 1087.4 552.23 2364.81 1045.73 1051.81 1393.82 842.2 773.55 2115.74 2862.24 2523.69 1371.18 2211.25 1978.22 919.86 713.44 1344.35 610.39 1196.18 1980.03 678.93 1190.76
K00076 0 138 1341 357 6 27 1470 114 15 45 69 339 324 18 201 21 243 1113 87 117 597 384 0 306 21 246 189 246 150 336 342 660 18 192 120 168 183 10.38 231 258 32.97 108.33 15 33 450 9 66 60 397 18 105 368.97 366.21 9 45 39 15 3 51 33 781.05 108 18 36 450 9 150 237 231.03 483 321 531 98.73 537 90 666 39 96 423 360 117 60 57 72 45 172 18 9 669 12 87 1269 816 75 63 767.79 87 12 48 33 0 161.52 51 9 15
K00077 51.97 80.74 113 115.17 14.11 41.68 437.83 24 53.13 27.55 18.23 52.1 155.76 26.88 40.54 56.92 22 217.43 129.34 34.57 190.29 50 31.14 21.31 19.59 21.5 41.24 56.51 22.9 125.56 61.91 99.48 19.51 42.87 16 12 28.08 27.07 82.16 60.36 27.27 48.78 14.12 43.8 134.5 14.19 32.74 53.42 65 1 55.76 219.82 112.53 4 84.89 32.32 30.26 5 50.86 52.25 84 37.5 31.02 48.32 185.35 43.67 20.07 209 36 63.32 41.36 97.51 62.7 108 96.33 72.45 28.51 30.96 134.13 158.65 60.39 19.69 44.8 51.15 21.99 33.03 36.15 16.1 160.66 18.51 31.95 505.12 424.44 88.62 101.37 60.03 66.58 16.71 68.8 8.54 8.78 20.12 22.29 17.17 47.38
K00078 247.06 441.75 530.82 269.89 53.78 68.42 463.41 633.55 321.67 70.37 138.39 765.9 676.99 138.94 497.32 347.4 878.79 510.05 371.33 687.99 931.48 791.45 118.08 425.74 283.53 460.68 428.79 619.47 430.61 1205.91 452.98 420.64 79.29 351.23 668.43 82.74 700.07 73.1 530.39 840.22 386.11 156.96 36.78 82.04 274.44 122.67 122.32 193.98 390.71 142.8 177.76 1662.81 224.06 34.95 120.12 189.42 53.06 44.12 109.18 63.39 262.6 181.94 63.75 101.28 339.62 83.23 532.22 694.23 161.74 423.77 211.66 659.13 173.76 450.34 108.29 727.98 199.6 126.23 429.47 266.86 246.43 67.48 121.93 133.42 93.01 420.36 90.78 366.09 272.99 130.73 94.44 445.88 476.78 209.81 194.43 276.96 147.58 58 55.74 143.01 46.99 99.81 290.7 51 88.65
K00081 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 3 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 2 0 0 2 1 0 0 0 0 0 0 2 0 0 0 0 0 0 2 0 1 0 0 0 0 1 1 0 1 0 0 0 1 0 0 1 0 0 1 2 0 0 3 0 0
K00082 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0
K00083 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
K00085 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
K00087 528.22 1314.86 414.04 1349.17 986.36 639.96 1647.8 1441.97 993.67 376.85 517.3 1330.58 1561.08 842.91 1219.47 490.3 1128.3 814.41 979.96 2030.77 1133.94 884.34 353.46 581.53 461.2 816.27 665.65 1309.72 1447.85 582.5 840.38 635.31 824.21 1130.36 1503.5 783.33 1430.67 1088.73 606.9 1033.27 425.8 1258.2 1405.28 1200.62 902.02 520.76 1460.89 662.89 1527.81 337.3 1096.85 2045.21 1025.31 1061.97 1365.97 1056.29 1401.88 545.53 1268.83 1899.79 3158.18 707.87 555.29 765.73 1169.36 977.86 1575.2 754.93 531.25 1249.04 680.69 1172.69 1064.49 958.71 1788.1 761 1204.87 437.71 2128.91 1035.97 2670.37 768.81 943.69 1546.07 670.76 2136.25 1438 1350.35 1890.58 1426.05 1957.06 737.58 935.3 1213.55 458.74 1392.17 1534.17 970.74 534.96 1294.36 800.51 858.67 1262.61 852.26 2025.18
K00088 3959.12 2240.98 5277.65 5944.3 4186.26 5527.56 4980.38 1825.36 2250.2 1820.56 1195.69 3382.97 8323.24 2953.9 4280.31 2866.16 2551.06 4469.5 2937.83 5220.23 6620.59 2709.38 3274.92 3144.97 2021.14 1880.5 5374.28 3494.6 2379.84 1273.5 3474.18 3943.36 8516.04 3623.07 2090.1 1624.65 2859.59 4925.88 2552.31 1219.47 2500.96 5563.1 2562.28 5670.1 4856.37 2437.99 4948.51 4877.26 4400.02 1504.96 4013.27 4458.25 6248.79 1252.9 5421.24 2969.15 5223.03 1300.93 4541.63 4267.47 6482.42 1253.41 5318.69 5265.29 6131.71 5948.04 863.29 6113.2 1604.49 5588.93 2665.59 8670.04 5202.51 3621.85 4860.13 2552.7 3395.74 2896.77 5575.05 4464.91 2489.52 1629.44 4875.02 5065.3 2362.84 1778.45 4126.72 663.88 6797.46 2481.57 3611.15 5384.55 6750.86 6638.9 6157.49 3956 6163.96 5055.02 2692.48 4252.94 1309.45 5469.84 3525.1 6196.79 4026.62
K00090 6 0 5 0 0 1 2 0 0 1 0 0 0 0 2 0 0 1 1 0 0 0 2 1 1 1 0 1 0 0 0 1 0 0 0 19 0 1.81 0 1 0 1 4 0 0 0 1 1 0 0 2.73 2 6 0 4 0 0 0 4 3 0 0 0 0 0 0 1 0 0 9.36 0 0 0 1.74 2 1 0 0 4 0 3 0 1 0 0 0 0 1.56 0 0 0 0 0 9 2 0 0 0.21 0 0 0 4.03 0.49 0 0
K00091 0 55.23 31 25.86 0 1 1 2 0 1 0 2 4 2 1 0 1 5 1 4 0 0 0 1 0 2 1 5 0 0 1 1 0 0 0 0 0 0 1 0 0 4 1 36 115 0 431.28 0 18 0 15.4 153.3 1 8 13 0 4 2 0 10 10 2 0 4 91 1 1 2 5 0 11 11 1 43 1 0 1 2 72.99 144 2 1 2 138 0 2 2 0 245.36 1 3 0 62 37 1 30 1 4 2 1 2 0 4 0 1
K00093 5 19 1 20 10.12 4 6 7 12.62 8 4 22.28 32.81 13.46 22 1 23 15.89 10 16.56 16 17 2 5.45 10 20 21 11 18.01 7 15 2 2 8 6 2 41 22 7 14 13 31 9 18.48 24 3 21 8 49 5 16 14 27 7 9 9 15 9 18 16 46 7 7 58 18 8 15 5 3 9 17.44 23 8 23 41 5 9 4 27 6 55 15 10 15 4 28 18 8 18 16 15 1 26 15 23 115.84 15 11 7 9 12 17 15 11 13
K00094 137.26 29.96 26 17.54 147.52 26.16 105.5 19.18 64.58 8 20.88 46.9 87.94 66.28 30 31.22 18 16.92 80.3 10.86 45.52 54.02 24 4 59.4 9.78 31.7 41.44 196.78 12.7 19.42 37.16 76 27.1 41.04 80 45.34 73.94 13.48 28.34 27.42 339.42 26 48.44 20 19.3 65.68 50.96 84.64 16 21.22 174.14 588.12 18.38 19.72 50 123.62 13.98 197.02 70.92 111.36 12 68.4 64.8 53.66 553.04 74.42 104.18 20 196.26 24 77.7 54.02 37.98 128.56 37.32 188.88 244.82 32 43.24 112.02 16 15.54 17.22 36.3 126.6 430 68.7 47.84 40.84 63.04 134 150.8 109.94 430.28 179.64 58.68 96.1 28 335.9 40.42 435.04 36.8 64.54 18.94
K00096 22.23 46.55 15.14 41.53 22.03 15.94 34.56 15.2 7.68 7.28 12.56 22.49 55.46 23.43 22 4.57 17.7 20.31 12.38 47.92 13.17 21.17 3.89 8.63 2 16.32 14.65 71.16 19.16 9.48 18.84 14.04 14.32 13.99 33.49 1 7.9 7.94 12.1 7.76 6.02 51.39 22.14 40.03 45.54 15.08 80.23 19.91 58.91 5.36 32.08 82.04 41.05 15.85 40.97 21.55 35.4 8.44 56.2 71.24 53.49 23.59 14.12 51.69 51.5 125.7 60.95 12.99 14.28 37.97 34.8 73.87 27.36 37.1 27.34 8.88 38.49 21.88 56.52 36.71 49.82 5.84 43.08 43.47 44.81 48.92 27.23 30.81 53.87 12.45 48.37 35.14 53.12 37.19 14.44 65.28 35.69 32.94 18.3 49.41 23.51 16.85 24.5 16.84 46.43
K00097 0 6 11 9 1 3 7 4 5 1 1 3 7 4 10 2 4 4 2 5 2 3 1 2 1 4 5 4 1 0 5 9 14 4 4 16 2 5 3 0 1 7 3 5 5 4 2 3 8 0 3 7 0 0 0 8 3 0 7 6 9 2 3 4 1 1 2 4 1 18 4 5 6 6 7 1 2 0 10 5 2 1 2 3 4 1 4 2 2 1 5 2 9 5 1 6 13 1 4 6 1 5 3 0 4
K00098 0 0 6 0 0 0 0 6 2 1.98 2 0 8 0 1.98 0 0 2 0 1.98 4 0 8 0 0 0 5.98 6 0 0 0 0 11.98 4 0 2 0 12.02 0 0 0 2 0 4 2 0 2 0 6 0 2 2 0 0 0 0 0 4 0 0 8 0 0 1.98 1.98 0 0 0 0 2 2 4.02 0 2 2 2 0 0 0 0 4.02 0 2 0 0 0 0 0 6 0 0 2 2 6 0 0 0 0 0 0 0 2 0 0 0
K00099 958.73 3910.07 3098.84 1468.99 556.11 931.47 2409.72 1042.42 1266.55 440.84 457.42 1903.02 2621.71 982.62 1438.71 2030.54 1496.33 1785.12 1848.81 1658.8 4023.77 2221.17 819.38 1491.47 723.09 1086.54 1559.99 1376.33 1374.76 3547.56 1507.6 1680.04 2011.42 1087.52 1132.99 3031.58 1396.1 1217.94 2230.59 1900.8 1787.76 2067.01 600.11 1541.92 1632.8 647.29 1497.81 1414.37 1346.32 764.81 1429.02 3645.07 2399.23 323.11 1137.66 1248.26 1023.12 490.68 1645.02 824.42 3117.65 932.98 730.92 1296.98 1997.11 858.12 1600.93 3352.76 1089.86 3347.99 847.31 3111.66 1523.26 2036.4 1022.44 2717.94 2197.92 739.96 2166.56 1992.97 1408.06 632.1 1171.77 1220.26 481.23 1268.41 871.42 1778.27 2148.23 778.43 1063.08 2326.03 2974.14 2580.5 2223.48 2112.09 2992.67 525 876.22 812.24 404.08 1021.64 1591.43 812.12 1122.7
K00100 1443.9 2828.15 3310.08 1142.32 475.38 359.52 1105.4 3774 1046.67 235.41 647.37 2572.69 1471.58 520.71 3470.37 861.44 5104 2695.69 1364.62 4479.61 3733.41 3764.1 315.3 2679.34 901.58 3417.23 1899.02 2927.38 1718.44 3241.2 2498.43 3103.29 403.56 2173.54 3029.03 331.03 2546.98 216.02 2684.56 2784.02 1897 844.87 213.55 463.03 1490.17 399.96 551.52 901.48 1446.18 741.54 1047.62 3538.73 1970.97 223.07 329.95 598.62 320.06 439 398.77 428.02 1634.83 860.2 120.06 354.31 1345.93 371.48 3386.08 2356.69 836.58 2188.13 909.44 2832.38 684.25 2294.47 401.85 1910.21 1180.73 339.88 3059.92 1881.59 1534.31 420.34 381.72 650.67 315.92 1203.74 299.2 2363.82 977.24 755.08 418.85 1519.04 2313.61 874.23 1137.38 1294.15 516.86 241.53 300 740.1 245.88 842.74 1305.77 328.86 358.51
