	T1_LoCHO_FAT_mean	T2_LoCHO_PROT_mean	theta	prob	log2FC	P	id
K02265	1.02571438524862	1.10770263186476	-0.0543704550557725	0.549349881028562	-0.110941572905867	0.450650118971438	K02265
K02266	0.638402441118318	0.669745961639592	-0.0390309888579611	0.499724483883781	-0.0691478089533279	0.500275516116219	K02266
K02267	0.491593643321592	0.603498885353086	-0.194245383469495	0.375181407237533	-0.295884845671307	0.624818592762467	K02267
K02269	0.726114459181946	0.726669443509762	-0.000548177506640378	0.255693563723606	-0.00110226052887467	0.744306436276394	K02269
K02272	1.16157208183888	1.45885051641677	-0.117641131183938	0.59270603699531	-0.328753378678154	0.40729396300469	K02272
K02274	0.476938549075537	0.524720368861749	-0.0973553811722429	0.598685977576071	-0.137745399500005	0.401314022423929	K02274
K02275	0.477592686393973	0.524720368861749	-0.0963074662795133	0.598676462505142	-0.135768050246183	0.401323537494858	K02275
K02280	0.779538146849361	0.748316009371241	0.0289031554755693	0.0570213082403314	0.0589719829419316	0.942978691759669	K02280
K02283	93.7190828596749	47.3216903415005	0.641264770424895	0.756309842579065	0.985841227981794	0.243690157420935	K02283
K02297	0.52203850262245	0.524720368861749	-0.00521358056038024	0.291925776359422	-0.00739257854901339	0.708074223640578	K02297
K02299	0.487235302157342	0.545365791476065	-0.111120438045978	0.59590801084902	-0.162605542752469	0.40409198915098	K02299
K02302	98.9365123271262	87.1667667784654	0.16907846003927	0.350680163197063	0.182724845460403	0.649319836802937	K02302
K02303	5.68998599165375	5.18894224064173	0.0724854614844972	0.0108311751115169	0.132984623740101	0.989168824888483	K02303
K02307	0.481838539836777	0.524720368861749	-0.0873528612411824	0.59682031761682	-0.122999002238498	0.40317968238318	K02307
K02309	0.485360931963528	0.51962711803321	-0.0702609337374449	0.58089229415438	-0.0984187367081767	0.41910770584562	K02309
K02313	1572.94842620192	2197.68513630395	-1.05409230059008	0.809408305033246	-0.482513336813869	0.190591694966754	K02313
K02314	628.610020483679	695.514791682178	-0.284917039368671	0.245103492061587	-0.145915927351352	0.754896507938413	K02314
K02315	126.360136900724	139.952250076159	-0.174586807631776	0.452454824195698	-0.147393276724854	0.547545175804302	K02315
K02316	699.500271563476	721.4602211611	-0.0800000718444277	0.592226705686339	-0.0445952341789941	0.407773294313661	K02316
K02318	0.491955994972501	0.543151475661692	-0.101628807734301	0.59836625601456	-0.142825323584494	0.40163374398544	K02318
K02319	0.505530849570895	0.50570873458692	-0.000327186621490374	0.253959498223884	-0.000507562870630067	0.746040501776116	K02319
K02322	0.485524198418225	0.518616545050823	-0.0672438635099649	0.576157785317618	-0.0951250311513657	0.423842214682382	K02322
K02324	0.619736527780884	0.535834997555636	0.131541125565418	0.229973875232487	0.209866191929837	0.770026124767513	K02324
K02325	0.498981358490426	0.50557010581883	-0.0130155317848926	0.350260320429522	-0.0189252412532075	0.649739679570478	K02325
K02327	0.488855627981432	0.510617480118423	-0.0441369116723529	0.518989462585376	-0.0628344647827654	0.481010537414624	K02327
K02331	0.540715413783365	0.524720368861749	0.0270335430192488	0.0659810708820002	0.0433206885340854	0.934018929118	K02331
K02332	0.612602402692754	0.57887634073862	0.0510991058140143	0.00168512033364965	0.0816958319870415	0.99831487966635	K02332
K02334	0.62279273587154	0.625569071037084	-0.00317159678281164	0.276144625427198	-0.00641706844400223	0.723855374572802	K02334
K02335	1144.16588090768	1658.841157746	-1.15987425817076	0.850120714609516	-0.535879518837389	0.149879285390484	K02335
K02336	0.541507672986303	0.7117332150494	-0.21346136444728	0.319684454299573	-0.394354784500778	0.680315545700427	K02336
K02337	1641.51716432994	1595.02574016217	0.128730129720069	0.218625455897999	0.0414501292976609	0.781374544102001	K02337
K02338	193.705610785041	162.271562535052	0.348615412465788	0.57002854670917	0.255455547668315	0.42997145329083	K02338
K02339	0.488565009693479	0.517365614587547	-0.0583283409013315	0.558756361957582	-0.0826336284782632	0.441243638042418	K02339
K02340	60.9961074180456	78.1791987937005	-0.344402666071512	0.285144045036021	-0.358067622186173	0.714855954963979	K02340
K02341	22.8266458400151	19.9371870952974	0.150319222044482	0.297272135739143	0.195257008087316	0.702727864260857	K02341
K02342	11.6482546241046	9.50729856242031	0.178911555623105	0.37289647099419	0.293006425538081	0.62710352900581	K02342
K02343	482.581130712032	907.153654979009	-1.73932734689268	0.971285858354158	-0.910575431006946	0.028714141645842	K02343
K02344	0.552372284636114	0.524720368861749	0.0485583824035392	0.00372646130310761	0.0740921396310649	0.996273538696892	K02344
K02346	854.820925207764	848.317764843421	0.0215511717810142	0.0960109791859893	0.0110174501453551	0.903989020814011	K02346
K02347	12.7304835403686	2.54721722682428	1.0470433115566	0.900310879812277	2.3212933149027	0.0996891201877228	K02347
K02348	0.668820937327555	10.2187259928274	-1.8099939830624	0.97348202340931	-3.93345151956821	0.0265179765906904	K02348
K02349	4.22977827868046	2.06398929961538	0.445552173317246	0.637738141350639	1.03514654911554	0.362261858649361	K02349
