	T1_LoCHO_FAT_mean	T2_LoCHO_FAT_mean	theta	prob	log2FC	P	id
K13531	2.51958275605819	0.738593147818769	0.59131356999203	0.692610829799023	1.77033305926914	0.307389170200977	K13531
K13532	48.6751787808902	91.6927946818677	-0.792212635736215	0.755519241611629	-0.913622091866988	0.244480758388371	K13532
K13533	0.50191629798762	0.519595009714872	-0.0369864136608746	0.209092683847618	-0.0499407815802222	0.790907316152382	K13533
K13542	0.738866781853148	0.726885753020342	0.0124916229469902	0.515171430884695	0.0235856400652487	0.484828569115305	K13542
K13547	0.705424696726345	0.791069260738428	-0.0808536315520456	0.00435519651892091	-0.165311927956965	0.995644803481079	K13547
K13548	0.518777875196138	0.505025174642962	0.0298966195540723	0.585475502802979	0.0387616473984295	0.414524497197021	K13548
K13549	3.09005448686127	2.84923331377639	0.0574477829638754	0.660515387951227	0.117058513600195	0.339484612048773	K13549
K13550	1.77568335442258	3.10745574201331	-0.419508067876014	0.58546122333118	-0.807359505222383	0.41453877666882	K13550
K13555	0.502830258304544	0.493340213427884	0.0208273161182823	0.551095349504564	0.0274885780576659	0.448904650495436	K13555
K13560	15.6239021907484	31.2404448794832	-0.573396349922338	0.667207447598414	-0.999660175561548	0.332792552401586	K13560
K13564	0.492998204937376	0.486248701827651	0.0151936669740604	0.527316435249884	0.019887995156182	0.472683564750116	K13564
K13566	523.987341757776	290.667175898749	1.40144029432762	0.939925051163708	0.850163798427097	0.0600749488362918	K13566
K13571	23.5925824704978	14.7477165819637	0.427896722872792	0.656918240220652	0.67784174978802	0.343081759779348	K13571
K13572	0.510571712091371	0.45365943730205	0.12779796208348	0.704225327434968	0.170503937449381	0.295774672565032	K13572
K13573	0.502941664736429	0.499306567125793	0.00787175554345492	0.493163006179571	0.0104651924052296	0.506836993820429	K13573
K13574	6.29842250622685	0.935271568030524	1.23146352641638	0.918978062900898	2.75153330269492	0.0810219370991022	K13574
K13577	0.620782509516618	0.516356533647727	0.166072917959386	0.670394969007597	0.265720349114596	0.329605030992403	K13577
